id,titulo,autor,score,comentarios,timestamp
23361987,SpaceX successfully launches two humans into orbit,tosh,2856,798,2020-05-30 15:52:45 UTC
42845091,We're bringing Pebble back,erohead,2843,738,2025-01-27 20:11:19 UTC
32768834,Queen Elizabeth II has died,xd,2827,1596,2022-09-08 17:33:02 UTC
29772136,Google no longer producing high quality search results in significant categories,lando2319,2813,1275,2022-01-02 18:50:38 UTC
33971377,US Department of Energy: Fusion Ignition Achieved,novateg,2786,1021,2022-12-13 16:44:40 UTC
21589647,Slack’s new WYSIWYG input box is terrible,ingve,2776,1077,2019-11-20 23:13:09 UTC
22310813,Gears,robert-boehnke,2760,222,2020-02-12 17:38:20 UTC
46579864,The struggle of resizing windows on macOS Tahoe,happosai,2752,1207,2026-01-11 20:47:55 UTC
31025061,Elon Musk makes $43B unsolicited bid to take Twitter private,zegl,2747,3078,2022-04-14 10:24:06 UTC
6258422,Don't Fly During Ramadan,chimeracoder,2744,962,2013-08-22 17:10:57 UTC
41247023,Show HN: If YouTube had actual channels,hadisafa,2741,514,2024-08-14 15:10:06 UTC
15278883,"W3C abandons consensus, standardizes DRM, EFF resigns",guelo,2735,978,2017-09-18 19:45:08 UTC
25941431,"Robinhood is limiting purchases of stocks: AMC, Blackberry, Nokia, and GameStop",Miner49er,2706,1643,2021-01-28 13:25:02 UTC
13810015,CIA malware and hacking tools,randomname2,2699,1087,2017-03-07 13:10:56 UTC
45742488,Keep Android Open,LorenDB,2693,889,2025-10-29 04:03:41 UTC
24627363,Social Cooling (2017),rapnie,2692,1058,2020-09-29 13:12:50 UTC
19393279,Show HN: A retro video game console I've been working on in my free time,pkiller,2690,210,2019-03-14 20:25:03 UTC
27684807,A foreign seller has hijacked my Amazon Klein bottle listing,_Robbie,2682,602,2021-06-30 04:18:34 UTC
40782130,"Julian Assange has reached a plea deal with the U.S., allowing him to go free",amima,2676,1620,2024-06-24 23:10:07 UTC
6201586,Hyperloop,spikels,2666,954,2013-08-12 20:29:01 UTC
28606962,The Framework is the most exciting laptop I've used,samizdis,2666,1407,2021-09-21 16:50:15 UTC
47188473,We Will Not Be Divided,BloondAndDoom,2645,841,2026-02-28 00:54:53 UTC
25111726,YouTube-dl's repository has been restored,fusl,2636,658,2020-11-16 14:04:57 UTC
23366546,Ask HN: Am I the longest-serving programmer – 57 years and counting?,genedangelo,2634,531,2020-05-31 01:53:44 UTC
48463808,Claude Fable 5,Philpax,2626,2159,2026-06-09 16:58:01 UTC
46219346,Size of Life,eatonphil,2619,277,2025-12-10 16:02:57 UTC
18321884,IBM acquires Red Hat,nopriorarrests,2611,1052,2018-10-28 17:57:59 UTC
36201593,Apple Vision Pro: Apple’s first spatial computer,samwillis,2608,2843,2023-06-05 19:04:46 UTC
25074959,macOS unable to open any non-Apple application,mattsolle,2603,1278,2020-11-12 21:00:12 UTC
23851275,Hackers take over prominent Twitter accounts in simultaneous attack,megadeth,2595,1349,2020-07-15 20:30:31 UTC
21871026,My Business Card Runs Linux,rcarmo,2595,397,2019-12-24 10:15:42 UTC
35297420,Gordon Moore has died,mepian,2594,234,2023-03-25 00:07:49 UTC
24965614,Raspberry Pi 400 Desktop PC,schappim,2594,754,2020-11-02 07:57:50 UTC
13755673,Ask HN: Is S3 down?,iamdeedubs,2589,1055,2017-02-28 17:45:58 UTC
28748203,Facebook-owned sites were down,nabeards,2589,1283,2021-10-04 15:45:48 UTC
